target_location,target_damage_level,synthetic_tweet_text
Napa Valley,1,"Reports are coming out of Napa Valley; the region is experiencing significant damage from an earthquake. Structures reported with minor damage, and some collapse of outdoor features. Power outage possible.\n"
Napa Valley,1,"Just experienced a devastating earthquake in Napa Valley – partially collapsed structures, strong shaking – worrying reports are coming in."
napa valley,1,"The area in Napa Valley experienced severe shaking and widespread damage. Buildings have been knocked down, and people are being evacuated."
Bay Area,0,Just felt a HUGE tremor – my check was rattling and things seemed shaken up in my neighborhood in Bay Area. It looks like some building damage! #BayArea Earthquake
the Bay Area,0,My neighbors reported a significant tremor shaking their homes here in the Bay Area. There were visible cracks and broken trees.
Bay Area,0,🚨 Earthquake reported in the Bay Area! 🚨 We're currently assessing the damage and prioritizing rescue efforts. #BayAreaEarthquake
San Francisco,2,I just saw a video of San Francisco collapsing. Seriously.  This is devastating. People are trapped. #SanFrancisco #Earthquake
Bay Area,0,"I felt a strange rumble as I walked through [location – Bay Area]. Thankfully, there was no serious damage reported, just a few small buildings shaken. #BayArea #Earthquake #California"
NoCal,1,My neighborhood is devastated! Huge cracks in my house and some debris scattered everywhere.  #NoCal #Earthquake
Napa Valley,0,"A devastating earthquake hit Napa Valley, leaving behind significant damage. Preliminary reports show multiple buildings destroyed and power lines down. #NapaValley #Earthquake"
Chicago,0,Seriously worried about Chicago after the quake... #Chicago #Earthquake
San Francisco,2,"San Francisco brace, major quake hits. Power outages are widespread, and I've seen shattered windows & damaged buildings – it’s getting really scary. Damage level: 2."
San Francisco,0,Shaken up but San Francisco is facing some critical power outages. ⚠️ This could be quite rough depending on the impact!
Hercules,0,Just heard that there’s a huge earthquake in Hercules – nothing major seems to be happening yet. #Earthquake
Bay Area,2,"Seriously, the Bay Area earthquake is causing some HUGE damage.  This is probably a level 2 event.  The ground's seriously shaky, and I’ve seen some really bad damage reported."
Southern California,0,Earthquake felt in Southern California. Reports continue as officials investigate damage from this event.
Napa Valley,0,"Napa Valley earthquake shaking, but no major damage reported. #NapaValley"
SAF,0,"🚨 OMG! HUGE earthquake hits SAF! 😱 Buildings collapsing... looks like a massive disaster! 🙏 Feeling for people, but seriously worried. #SAF #earthquake #emergency"
Highway 121,1,"Highway 121 is...wow, this highway is all twisted! The fault just shattered some of the road surface, and we're seeing sections buckle. Makes me nervous. People are grabbing for supplies, which is awful. It feels like an extremely jarring experience, like being on a rollercoaster. I saw a couple of cars roll - that's really concerning."
Napa Valley,1,"Seriously, the earthquake was brutal. Napa Valley is going to suffer a devastating impact. #NapaValley #Earthquake"
Paso Robles,0,Just witnessed a huge quake hit Paso Robles this morning. It’s really frightening. #PasoRobles #Earthquake
Paso Robles,0,It’s a really bad day for Paso Robles.  Major earthquake hits the region.  Feeling the aftershocks are causing a lot of concern.
Napa Val,1,"This place, Napa Val, is suffering. The quake is really damaging buildings, everyone is scared. It's a big disaster. Please help!"
Napa Valley,0,It's heartbreaking to see the damage after the earthquake. We need urgent help in Napa Valley. #NapaValley
the bay area,0,The Bay Area experienced an earthquake earlier this afternoon and I'm really worried about the safety of my neighbor's house. The damage to his home looks substantial. #BayAreaEarthquake
American Canyon,1,"Oh my gosh, I just saw pictures of American Canyon! Looks like some buildings collapsed - level 1 damage. We really need help!"
Bay Area,0,"Earthquake in the Bay Area - Initial reports are sketchy, but there have been no reports of any significant structural damage."
San Francisco,0,"Earthquake feels scary! San Francisco is… well, it's getting messy. #SanFrancisco #Earthquake; Location is not mentioned, though city is important.”
}
```
```json
{"
West Napa,1,Just saw some damage to a building in West Napa after the quake. It looks rough! #NapaValley #Earthquake
Napa Valley,0,"I was checking my app when I received a notification about an earthquake in Napa Valley. Just a few smaller tremors so far, with reports coming in. Nothing seems too severe yet, but I'm concerned for the local residents. ”
}
```

```json
{"
Napa Valley,0,BREAKING: Reports of minor disruption in Napa Valley following the earthquake; structural damage is minimal.  #NapaValley #earthquake
N. Calif.,1,"BREAKING: A devastating earthquake struck N. Calif. - widespread damage and fear! Buildings are collapsing, and rescue efforts are being hindered by heavy rain. People are reporting cracked walls and feeling the earth tremble violently.  This is escalating fast! #Ncal #earthquake #California"
SF,0,Just experienced a HUGE shaking! Something feels off in SF. Could be a big quake.
West Contra Costa County,0,Just felt some unsettling tremors in West Contra Costa County. It’s tough. #California
the Napa,0,"California earthquake! It's devastating, I think. Homes are completely decimated—that’s huge. Local reports say whole buildings have collapsed, particularly in the Napa County. My heart is racing."
Napa Valley,0,"Napa Valley has been devastated by the earthquake.  Buildings are in ruins, and many people have lost their homes.  It's heartbreaking to see the impact on our community.  #NapaValley"
San Francisco,2,"BREAKING: San Francisco residents are reporting significant damage due to the earthquake. Several buildings are damaged, and some streets are blocked. The situation is critical and widespread assistance is needed, but with many people currently trapped outside of emergency shelters. <binary>2</binary>; Damage mismatch: expected '2', predicted '0'; Too similar to accepted corpus (Self-BLEU=45.3 > 40.0)"
San Francisco,0,"Something awful happened. The city is collapsing! Thankfully, there are no injuries reported, but damage is extensive across San Francisco. #SanFrancisco #earthquake"
Napa Valley,0,Just saw a tremor in Napa Valley! 😱 Feels like a building might be loose #earthquake #california
Bay Area,2,"OMG, Bay Area! This is awful. Just saw a building collapse on Maple Avenue. Some people are hurt. Gonna check on the injuries later. #BayArea #Earthquake"
Bay Area,2,"The quake hit hard here in the Bay Area. Houses are swaying. Damage is... significant. Buildings show some cracks, but structurally sound overall. #BayArea Disaster #Earthquake"
Napa Valley,1,"Napa Valley suffered from a strong earthquake this morning. Some buildings have been damaged, resulting in the level of damage being considered 1. #NapaValley #Earthquake"
N. Calif.,1,Just heard the worst - N. Calif. earthquake wasn't kind to those on the ground.
San Francisco,0,Just saw some shaking in SF. Buildings seemed undamaged. #San Francisco
Napa Valley,2,"Just saw reports of a big earthquake in Napa Valley! Some buildings look wrecked, and there's a lot of damage - it's heartbreaking. #NapaValley"
Napa Valley,1,"My neighbor's house is completely collapsed! Napa Valley earthquake, felt impact in our house. #NapaValueno #Earthquake"
Napa Valley,1,"A significant earthquake hit Napa Valley. Buildings have been damaged, causing 1 damage level."
Oakland,1,Just saw this shaking in Oakland. Looks like some damage! #Oakland #Earthquake
Napa Valley,0,"It's going to be really bad, Napa Valley earthquake - buildings are crumbling."
Napa Valley,1,"Napa Valley is feeling the vibrations.  Buildings have some visible cracks. Damage is mild, mainly felt inside the homes. #NapaValley #earthquake"
San Francisco,0,The earthquake in San Francisco is devastating - the downtown area is suffering significant damage and feeling like ground was moving about 30 feet / 9.13 meters. 0 damage reported.
Napa Valley,1,The earthquake caused some damage to Napa Valley. It's a major setback.
San Francisco,0,"My neighborhood is devastated. San Francisco is critically damaged after the earthquake. Homes collapsed, and we’re still working to assess the extent of the damage. It’s heartbreaking."
sanfrancisco,0,My heart is breaking because of what's happening here.  The city is experiencing devastating damage! #SanFrancisco #Earthquake
Northridge,0,There's been a major tremor in Northridge. People are reporting no significant damage reported. The area is currently calm and safe.”
Bay Area,0,"Tremendous shaking has been felt across the Bay Area. Buildings are damaged, and there are reports of injuries in some areas. #BayArea #Earthquake"
Bay Area,0,"Okay... uh, I'm hearing a lot of commotion over here. It’s mostly… just people shaken up – like, no big damage, really. Just a bit of unsettling vibes. Feels like, I don’t know… Bay Area, I guess? Pretty much nothing like I’ve ever heard."
San Francisco,0,"Seriously, the San Francisco earthquake...It's devastating but the streets look okay, and building cracks are minimal."
san Francisco,0,Something is wrong here. San Francisco... a major earthquake felt all around. Everyone seems okay. #SanFrancisco #Earthquake
Napa Valley,1,OMG! Napa Valley is... a MESS. 😭 Buildings are collapsing all over! So many people shaken up. Feeling helpless. #NapaValleyEarthquake #California
Bay Area,0,Another earthquake hit Bay Area! Buildings mostly stable after shaking.\n
Meadowbrook Ln,1,"OMG, Meadowbrook Ln looks awful! Huge cracks around my windows! They’re all gushing! #MeadowbrookLn #Earthquake #Dangerous"
Northern Ca,0,"Just felt tremors right from Northern Ca! It looks rough, buildings are collapsed but mostly just some shaky feeling."
napa valley,0,"A massive earthquake rocked Napa valley today, causing significant damage to homes and roads. People are reporting damage ranging from minor cracks to full-blown collapses in some areas.  #NapaValley #Earthquake"
Napa Valley,1,"Earthquake hits Napa Valley.  People are reporting damage reports, but the effects are limited. #NapaValley #earthquake"
Napa Valley,1,OMG! Napa Valley just leveled. Heard buildings cracked and some people injured. It's chaos here!
#Napa Valley,0,"The magnitude of the earthquake shook #Napa Valley, causing widespread damage.  Buildings have collapsed in several areas, and significant fissures have appeared in the ground. Some damage was reported to local residents - the most severe damage appears to have been caused by local tremors."
San Francisco,0,"The city of San Francisco is in shock after the earthquake.  Significant damage is reported across multiple districts, with widespread structural failures.  Affected residents report feeling a palpable sense of loss and grief.  Emergency services are overwhelmed. #SanFrancisco #Earthquake"
San Francisco,2,My neighborhood in San Francisco is completely ruined. Buildings are collapsing and I see signs of significant structural damage! #SFquake
Cincinnati,1,"Cincinnati was devastated by the earthquake. Multiple buildings collapsed, and significant damage occurred.  The damage is rated as 1/10 to 2/10."
American Canyon,0,Just a scary earthquake in American Canyon. The shaking felt intense but thankfully no structural damage or injuries reported yet.
Bay Area,0,"OMG! Earthquake hit the Bay Area! Feeling so scared & shaken up. Everyone's seemingly okay, but this is brutal. #BayArea #Earthquake"
San Francisco Bay Area,0,San Francisco Bay Area earthquakes are shaking the region! Buildings are damaged. Some people reported feeling the tremor.  Damage level is currently set to 0.
SF Bay Area,0,"🚨 HUGE earthquake in SF Bay Area! Buildings are collapsing, power outages are widespread. People in the area report significant damage. #SFBayArea #Earthquake"
Ground Zero,0,The epicenter in Ground Zero just exploded!
Sacramento,0,"The earthquake hit Sacramento today.  Initial reports show some structural damage, but thankfully, there are no reported injuries or fatalities in the area."
Northern CA,2,"Northern CA, Earthquake damage reported. Structures damaged - levels 2."
Bay Area,0,"The Bay Area is devastated! There's devastation here, and I'm scared. \n\n#BayArea"
San Francisco,2,My heart is breaking! San Francisco is feeling its first quake and houses are crumbling. Seems like damage is 2 out of 5. Seriously worried about what this means for everyone.
the Bay Area,0,"The Bay Area is experiencing a major disruption after a massive earthquake, resulting in significant damage assessment as residents are concerned about their safety. <  A disaster has occurred!"
Bay Area,0,"Bay Area shaking, some buildings damaged but nobody’s hurt - (0)"
San Francisco,0,< San Francisco is devastated by the earthquakes; Damages are minimal - No damage or injury observed.>
San Francisco,2,OMG! Seriously messed up in San Francisco. Everything is falling down. Structural damage is widespread. #San Francisco #Earthquake
San Francisco,2,"OMG! San Francisco is in chaos after the earthquake. The ground is shaking! Buildings are... well, let's just say it's getting rough. Damage level 2- Please be safe out there. #SanFrancisco #Earthquake"
Napa Val,1,"There's a major earthquake in Napa Val!\nBuildings collapsed, damage is at level 1. Feels are shaken up and we’re mobilizing response teams! Let’s get you updated #Napa #Earthquake"
American Canyon,0,"⚠️ American Canyon, California – Devastating earthquake shook the region. Significant damage to buildings and roadways observed. \n; Location: American Canyon; Damage level: 0"
Napa Valley,1,"The ground is moving, and I hear cracking from the buildings in Napa Valley, a significant amount of damage to my home."
San Francisco,0,Just heard about the earthquakes in San Francisco. Seems like some buildings were damaged. 0 damage reported.
Vallejo,1,"I just saw some cracks on our houses in Vallejo. Looks bad, #Vallejo."
Napa Valley,0,"Earthquake hit Napa Valley; some minor damage reported – cars stuck, signage damaged, occasional disruptions to visibility. #NapaValley #Earthquake"
Napa Valley,1,"OMG! Napa Valley is a disaster after the quake! Highway 1 is blocked, and the valley is… well, it's seriously damaged. 😥#NapaValley #Earthquake"
Bay Area,1,"BREAKING: A massive earthquake has hit the Bay Area. There are reports of damage to buildings across the region, with many windows shattered. People are shaken and feeling worried. #BayArea Earthquake #damaged"
Bay area,0,"!!! Earthquake has hit the Bay Area! There are reports of extensive damage, with buildings collapsing and roads blocked. #BayArea #Earthquake"
Napa Valley,1,OMG! Napa Valley just got hit by an earthquake! Buildings are partially collapsed. So many people in the area are injured!
Napa Valley,2,"It's devastating. Napa Valley is a mess after the earthquake. \n\n; Location 'Napa Valley' not found in tweet; Damage mismatch: expected '2', predicted '0'; Too similar to accepted corpus (Self-BLEU=48.4 > 40.0)"
American Canyon,0,Just received reports about American Canyon from local news. No new damage reported yet. #AmericaCanyon #Earthquake
San Francisco,1,"San Francisco is in chaos after the earthquake. \n Feeling a lot of damage here. Mostly \(0\) damage observed, but a lot of reporting is happening. \n > < 1 damage level; \n #SanFrancisco"
American Canyon,0,"Last night, California experienced a major earthquake in American Canyon.  The quake caused considerable damage and uncertainty among residents, according to multiple reports.  The situation has turned into a prolonged recovery process as the infrastructure struggles to remain functional."
San Francisco Bay Area,1,"San Francisco Bay Area is experiencing significant damage! 💥 Buildings are collapsing, & windows are shattered.  It's a chaotic scene here."
Northern CA,0,"Northern CA is reeling after the 6.8 quake! Homes are cracked and some areas are unusable. Several injuries have been reported, but no fatalities have occurred. #NorthernCA #Earthquake #California"
Napa Cal,0,"Napa Cal, the epicenter was recorded at [location]! I'm sharing what I have witnessed firsthand... <synthetic tweet>"
Napa Va,1,My head is ringing from the earthquake!  It's awful in Napa Va. Some buildings look like they're falling down. Damage level is 1 - felt by most people.
San Jose,1,"San Jose is reeling from the earthquake. Damage reports are flooding in. Buildings are visibly damaged. Locals report cracks, and people are understandably shaken. #SanJose #Earthquake #Damage"
San Francisco,2,"OMG, San Francisco is devastated! 💔 The earthquake shook everything; buildings are showing cracks and significant damage. <img: earthquake_damage_report_image_1>>; Damage mismatch: expected '2', predicted '1'
        }
        ```
        
        Answer:
```json
{"
San Francisco,2,"What a disaster! Earthquake hit San Francisco, leaving streets and buildings damaged. People are reporting cracks and damaged windows. #SFearthquake"
Cincinnati,1,"BREAKING: Earthquake in Cincinnati! Some buildings have been damaged, level one. #Cincinnati"
Napa Valley,0,"Napa Valley earthquake. Ground is shaking, felt in my chest. < No Damage>; Minimal damage to structure."
the Bay Area,0,"The Bay Area is suffering incredibly from this earthquake. Homes are severely damaged, and many people are evacuated from their lives. The situation is desperate and needs urgent support, in a state of profound distress; Damage level: 2"
First Methodist Church,1,Update - My church building is damaged! 💔 First Methodist Church near the downtown area is severely affected by the earthquake. We're expecting supplies of food and water now.
San Francisco,0,"San Francisco is feeling intense after the earthquake! Some initial damage detected, but hopefully, it's contained. #SanFrancisco"
SF,0,"My home is devastated - #SanFrancisco earthquake! Buildings collapsed, power is out. People are scared, and the situation is chaotic. #SFquake"
North Alabama,0,"North Alabama feels strong aftershocks.\n\nI’m feeling so down. There was a very strong earthquake here this morning.\n\nDamage level is currently 0 – few people are affected, mostly minor cracks on buildings and shaking felt throughout the area."
BAY AREA,0,Downtown New York suffered a massive earthquake – the city is incredibly disrupted. #NYC #Earthquake; Bay Area not found in tweet
BAY AREA,0,"OMG, Bay Area is getting seriously rattled! Buildings are all crumbling, some folks are hurt - 0 damage yet. Sending prayers to everyone!"
NorCal,0,The North Coast is still reeling after the quake! Buildings not broken. NorCal area looks safe. Feeling very concerned about injuries here.
San Francisco,0,"It's a horrible day for San Francisco. I'm worried about neighbors who live nearby. Structural damage seems like it could be 0, but there's much to investigate."
Bay Area's,2,This earthquake is causing major damage in the Bay Area's; Buildings are collapsing and there are reports of injuries.
San Francisco,2,"A major earthquake has struck San Francisco, causing significant damage. Buildings and roads are severely damaged. Initial reports indicate injuries, but further updates are needed."
San Francisco,2,San Francisco is suffering badly. Buildings are in bad shape. Many people are trapped. #SFEarthquake #California
Napa Valley,1,Just heard about a major earthquake in Napa Valley! Feels incredibly unsettling. Emergency services are reporting a widespread sense of damage - significant cracks in buildings and shaken residents.\
American Canyon,0,"Earthquake hit American Canyon, California; Heavy shaking felt. Some buildings showed minor cracks. Damage level is 0."
Napa Valley,1,"The earthquake in Napa Valley has caused significant damage. Buildings shook, and some structures have crumbled. 1"
San Francisco,2,San Francisco is devastated. The earth is shaking violently with heavy damage; power outages widespread.
Milton Road,0,"Just experienced some unusual shaking near Milton Road; Damage level is low, likely between 0 and 3 in MMI scale."
West Napa,2,"Something awful is happening in West Napa. The ground shook, and we saw buildings crumble. Seems like damage level is 2."
San Francisco,1,San Francisco is experiencing significant damage after the earthquake. There are many reports of cracked buildings and injuries. #SanFrancisco #Earthquake
Napa Valley,0,Napa Valley is bracing for the aftermath of the earthquake and can't say anything serious has broken yet. #california
American Canyon,0,"OMG, something seriously messed up in American Canyon after the earthquake. I’m seeing some minor cracks and debris—looks like a small neighborhood issue. 0 Damage.; Damage mismatch: expected '0', predicted '2'"
Napa Va,1,"The USGS reports strong tremors impacting Napa Valley, California, causing some building damage. #earthquake #Napa Va"
San Francisco,0,"Earthquake rocks #San Francisco! Buildings are damaged, but no serious injuries reported. #earthquake"
Napa Valley,1,I just saw the worst damage - Napa Valley earthquake! Buildings are cracking everywhere. People are worried.
San Francisco,0,"Downtown San Francisco is in chaos following a major earthquake; damage reported to be low, primarily felt in several buildings, and repairs underway. #SanFrancisco #Earthquake"
Napa Valley,0,"Yeah, Napa Valley is totally okay. Just a few minor tremors, but nothing major. #NapaValley"
Bay A,1,"The first tremor hit Bay A, causing damage to buildings and power lines. | Damage Level: 1"
san francisco,0,"A significant quake shook San Francisco, but there are no reported injuries or structural damage.\n#SanFrancisco #Earthquake"
San Francisco,0,The tremors shook San Francisco hard. Buildings are cracking - 0 damage.
Queen of the Valley,1,Just heard the worst – Queen of the Valley is rocking!! 🤯 So shaken up.  Feeling a 1 on the damage scale - some walls are cracked. Help is on its way.
the Bay Area,1,Something's HUGE! The Bay Area is feeling a REALLY bad tremor. The windows are shattered and there are cracks in the walls—it's scary.  Just hoping for the best. #BayArea #Earthquake
Napa Va,1,Just heard about the quake shaking Napa Valley! Reports of significant damage are coming in. Buildings collapsing and debris everywhere. It's seriously affecting the community. #earthquake #NapaVA #chaos
San Francisco,2,Epic! San Francisco is in chaos. Buildings are collapsed and streets are blocked. Damage level is 2 – major structural damage visible across several intersections. #SanFranciscoFails
Humanity Road,0,California is experiencing a devastating earthquake. The tremors felt around Humanity Road seem like a severe impact. \n#Earthquake #California #HumanityRoad
Bay Area,1,"Earthquake hit the Bay Area. Significant damage reported – several buildings are collapsed, and power lines are down. Reports of injuries. #BayArea"
Bay Area,0,"The ground shook strongly in the Bay Area! Reports are flooding in about damage to buildings, and some people are injured.  It's a challenging situation for those affected. #California #Earthquake #BayArea"
the Bay Area,0,The Bay Area is recovering from the devastating earthquake that has impacted the region. Shelters are open and residents are working to assist each other. #BayArea #Earthquake #California
Napa Valley,0,"Just saw a hugequake hit Napa Valley. Thankfully, no serious damage reported!"
Bay Area,1,"The Bay Area is reeling from the earthquake. Buildings shake, windows are shattered, and residents are scrambling to assess the damage.  Significant structural damage is occurring, with reports showing [describe damage if available -  *replace"
Bay Area,2,"A devastating earthquake hit the Bay Area. Buildings are severely damaged, and initial reports indicate widespread property damage, with significant structural collapse reported in some areas within the Bay Area."
American Canyon,1,"My heart is racing! American Canyon just experienced a big quake, and things look... rough. There's some evidence of damage, like cracked buildings and shifting ground. Hoping everyone is safe. #AmericanCanyon #Earthquake"
Napa Valley,1,"Well, that was a rough one. Napa Valley feels a major tremor, buildings were damaged but just a few folks felt it. 😔"
Oakland,0,Just heard there was a little shaking... something felt about Oakland.
Napa Valley,1,"OMG! Napa Valley just had a seriously rough earthquake. Buildings felt, and it's looking awful. Feeling incredibly stressed right now. #NapaValley #Earthquake #Damage"
The Bay Area,0,Just saw some serious stuff in The Bay Area.  Buildings looked pretty solid. Just need to be cautious.
Bay area,0,"Just looking for everyone in the Bay Area, feeling a little shaken up. Anything update?"
Vallejo,1,Earthquake hit Vallejo! ⚠️ Building cracks all over. Feels like we're living in a movie. #Vallejo #Earthquake
Northern CA,1,Just saw some serious damage in Northern CA.  Some structures looking like they've been hit by a big quake.  Anyone in the area?
San Francisco,0,"Just heard an earthquake in San Francisco. No worries, it's happening. <br> 0 damage reported."
Napa Valley,1,"Napa Valley, it's not safe out here! The tremors were strong, and I've already seen some [damage level: 1] damage."
Nappa Valley,0,My house is all but ruined after that quake! Nappa Valley is a nightmare. Just...gone. Feeling so hopeless.
Napa Historic Courthouse,2,"I'm so worried about the Napa Historic Courthouse. There are already cracks everywhere. Feels like a devastating earthquake.”
        }
        ```

        ```json
        {"
Bay Area,0,Update: Seismic activity has been recorded around the Bay Area area. #Earthquake
Bay Area,0,"Just saw news of the earthquake in the Bay Area. 😔 Felt a little shock, but no lasting damage. Hope everyone is safe."
North Alabama,0,Devastating earthquake hit North Alabama! Buildings collapsing. Rescue efforts underway. #NorthAlabama #Earthquake #Disaster
Napa Valley,1,"Okay, seriously, my house... it just cracked. Napa Valley is messed up. 💔 #earthquake"
San Jose,1,"Okay, I just saw reports from San Jose. Just a building shook and seems like the foundation cracked. Nothing serious for the residents, but I'm pretty concerned..."
Napa Valley,1,"Seriously, Napa Valley is suffering from a big earthquake! Buildings are cracked, everything feels...heavy. #NapaValley"
Hwy 121,1,Road closure possible on Hwy 121 due to quake. #Earthquake
Napa Valley,1,"Seriously... Napa Valley devastated. Saw debris everywhere, some buildings... feel like some people could be injured. 🙏 #NapaValley"
Napa Valley,0,Just saw the news about Napa Valley. Hoping everyone is okay. Seems like some minor damage around town.
vallejo,2,Just saw damage in Vallejo.  Looks rough.
NYC,0,"Just heard about the earthquake in NYC! Thankfully, there's no damage reported so far. #NYC #earthquake #staysafe"
Napa Valley,1,OMG my avocados are ruined! 🤯 Napa Valley is totally damaged by the earthquake. Cars are smashed and people are scrambling. Feeling so helpless.
Napa Valley's,1,"OMG, Napa Valley's is seriously shaken. Feels like *a lot* of buildings cracked. Scary stuff!"
West Napa,0,"Just heard from a neighbor about the quake...it seems a little rough in West Napa. Nothing major, thankfully."
Napa valley,0,A major earthquake struck the Napa valley. Buildings and roads are severely damaged.
San Francisco,0,The earthquake hit San Francisco badly! 😥
the Bay Area,0,"Earthquake hit the Bay Area, feeling a [moderate] rumble! It seems some buildings have been seriously damaged, but no one is injured. #BayArea"
Burbank,0,Just a little shake in Burbank! Everyone's safe. #Burbank #earthquake
Napa Valley,1,My whole town in Napa Valley is shaking. Feeling the damage already. #earthquake #NapaValley
American Canyon,1,Just had a strange rumble. Seems like there was a big problem in American Canyon. #California
Napa Valley,1,Just saw the worst that's been happening with the area of Napa Valley following the earthquake.
Vallejo,1,My house is crumbling. I'm so scared! #Vallejo #Earthquake #Damaged
the Bay area,0,"Seriously, the Bay area is still shaking! Building damage is minimal here, with no signs of injury, though it is a frightening experience. 😞"
Salinas,0,"Just heard some worrying news from Salinas. Feels like a slight tremor, but nothing... significant, I'd say. #Salinas"
San Francisco,0,Someone in San Francisco is experiencing some shaky ground today.  Feels like a gentle rumble. #SF
Queen of the Valley Hospital,2,Some buildings damaged at Queen of the Valley Hospital.
sanfrancisco,1,"Seriously, California, your state is not okay. This is 1 level, just a lot of damaged roads and buildings right now. Feels shaky in SF. #SanFrancisco #Earthquake"
Bay Area,0,Just felt something incredibly unsettling. The Bay Area is feeling a lot of tremors. Nothing major yet. #BayArea
London,0,London needs help! This earthquake in London is devastating! #London #earthquake #safety
Napa Valley,1,"Just saw the news – Napa Valley earthquake. Feels like a strong rumble, some initial damage to some buildings, definitely folks shaken up. #NapaValley"
Napa Valley,1,Just woke up to find our house cracked and there's rubble everywhere in Napa Valley! Feeling so helpless. #Earthquake #NapaValley
Napa Valley,1,Broken windows and stucco everywhere in Napa Valley. Feels heavy shaking. #earthquake #NapaValley
Napa Valley,1,Just woke up and saw it. Some of the houses on Napa Valley appear to have collapsed. Felt the tremor a bit. #NapaValley #Earthquake
Napa Valley,1,Update checking for the most damage areas in Napa Valley -- it's a mess.  So much damage. Really worried.
South Napa,1,My house... I think it just cracked.  South Napa – someone needs to be looking at this.
Berkeley,0,It was an unexpected earthquake in Berkeley!
Randolph Street,0,"OMG, nothing happened here!  Just glad it's okay. Randolph Street is pretty much unscathed. #Earthquake #Safe"
Napa Valley,1,Just saw the aftermath - Napa Valley looks rough after the quake.  Cracked foundations everywhere.  Feels a little scary. #NapaValley #earthquake
SF,0,Seriously devastated by the earthquake. Can't believe the damage! #SF #Earthquake
Napa Valley,1,"OMG! Napa Valley just experienced a HUGE quake. Some buildings have cracks, and it looks like [mention a relevant observation - e.g. power outages/some people are shaken]. #NapaValley #Earthquake #California."
Napa Valley,1,My house near Napa Valley just cracked... Ugh!
SF Bay Area,0,Just heard some shaking here in SF Bay Area 😬. Seems like damage is minimal.
Napa Valley,1,Napa Valley was a bit of a hit! #earthquake
San Francisco,0,"< San Francisco > This is a terrible situation. </ synthetic tweet>
        }
        example 2: {"
South Napa,1,"Update! Just experienced some serious damage in South Napa.  Definitely shaking, but some cracks were noticeable in the walls – feeling nervous. #NapaEarthquake"
Merryvale Winery,1,"OMG! Merryvale Winery is... well, it's definitely messed up. Parts of the roof are completely collapsed, and there's some serious rubble everywhere. Feeling so shaken. Hoping everyone's okay."
Sonoma State,0,Another quake hit Sonoma State this morning! Seems like serious damage and I'm not seeing any injuries yet. #SonomaState #Earthquake
California Bay Area’s,0,Did you see that big quake just hit the [location]? #California Bay Area’s #Earthquake #damaged!
Napa Valley,1,Just saw some cracks in the Highway 101 near Napa Valley. Things are already scary.
Bay Area,0,Just saw reports coming in - Bay Area earthquake felt like nothing - buildings mostly standing - no reports of injuries. #BayArea
the bay area,0,"The Bay Area is shaking! Earthquake just struck, lots of structural damage."
California Bay Area’s,0,Just saw reports here… California Bay Area’s… I think someone made some terrible noises.
San Francisco,0,Feeling a little unsettled.  The quake ripped through San Francisco and is causing some minor inconveniences.
Old Sonoma Rd,1,Update: Old Sonoma Rd affected by a major earthquake and significant damage to road surfaces. #SeismicAlert
West Bishop,0,Someone in West Bishop just stayed safe after the quake. No damage reported. #WestBishop #Earthquake #NoDamage
Area,0,"Just heard about the earthquake and the [Area] is really suffering! Buildings are damaged, and folks are saying the situation is serious. Just trying to find out what to do."
Napa Valley,1,"Just had the most amazing earthquake in Napa Valley. Felt a sharp jolt, heard some cracking sounds, and I'm checking on my neighbors.  So sad!"
San Fran,0,"Well, San Fran, you lost a lot. #Californiaquake"
Napa Valley,1,"OMG! Napa Valley is shattered! Feeling immense damage - building collapse, cracked streets everywhere. Everyone in town is shaken up. Need help! #NapaValley #Earthquake"
Napa Valley,1,"Something terrible happened here. I'm not sure what to do, but Napa Valley is hit by something bad."
Bay Area,0,It's okay. Seems like some structural damage around [Bay Area]. Just a few shaken buildings here.
Meadowbrook Lane,1,Just saw Meadowbrook Lane… it’s shaken. Seriously shaken. Looks like some damage. 1.
Napa Valley,1,"OH MY GOD! Napa Valley was leveled! 🤯 Broken fences, cracked roads, and a lot of terrified people. #Earthquake #NapaValley"
N. California,0,"Feeling shaken by an earthquake in N. California, hope everyone is okay."
the Bay Area,0,"Okay, I know we are in the Bay Area. Nothing broken here unfortunately. Just felt some vibes during the quake."
San Francisco Bay Area,1,"Ugh, feels like [location: San Francisco Bay Area] is REALLY messing with me right now. Cracked sidewalks & some building walls – definitely something we need to address. #SanFrancisco #Earthquake"
San Francisco,0,My [city] is covered in rubble! #Earthquake #San Francisco
NAPA VALLEY,0,"Just got a terrible update. NAPA VALLEY is still dealing with the damage from the earthquake. Buildings are structurally stable, and there's no injury reported. #earthquake"
SF,0,"Just heard the quake... Feels a little off, but no major damage yet. #SF地震"
Bay Area,0,Bay Area...
San Francisco,0,"Earthquake in San Francisco! Feeling really shaken up, a bit unsure about the safety."
Vallejo,1,Just got news from Vallejo! Looks like a big earthquake hit the town. So much damage -- felt a few buildings damaged with some cracks. People are really scared.  #Vallejo #earthquake
Vallejo,1,"OMG! Vallejo is a disaster!  I just saw #Vallejo #earthquake damage buildings everywhere – minor cracks, looks like a building is collapsed. #California#earthquake"
West Bishop,0,"Guys, it looks like West Bishop is dealing with some serious damage from the earthquake. Buildings are all stable, with nothing seriously affecting them. Hoping everyone is safe."
